Company,Date,Time,Vehicle 1 Year,Vehicle Make,Vehicle Model,Address,City,County,Zip Code,Vehicle 1 Status,Vehicle 2 Status,Vehicles Involved,Describe Veh Damage,Mode,Weather,Lighting,Roadway Surface,Roadway Condition,Mov Proceed Col Veh 1,Mov Proceed Col Veh 2,Collision Type,Vehicle type,Location,Fault,Number of injuries,Injuries,Description,Damaged Area,Latitude,Longitude,Census Tract Code,Census Block Code,Census Block Group,Median Age,Population,White,Black,Asian,Hispanic,Other,Median Income
Cruise,12/7/17,9:34 AM,2017,Chevrolet,Bolt,Oak St & Fillmore St,San Francisco,San Francisco,94117,Moving,Moving,2,Unknown,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Two-Wheels,Straight Road,Vehicle 2,1,The motorcyclist reported shoulder pain and was taken to receive medical care,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode in heavy traffic, was involved in a collision while traveling east on Oak Street just past the intersection with Fillmore Street. The Cruise AV was traveling in the center of three one-way lanes. Identifying a space between two vehicles (a minivan in front and a sedan behind) in the left lane, the Cruise AV began to merge into that lane. At the same time, the minivan decelerated. Sensing that its gap was closing, the Cruise AV stopped maldng its lane change and returned fully to the center lane. As the Cruise AV was re-centering itself in the lane, a motorcycle that that had just lane-split between two vehicles in the center and right lanes moved into the center lane, glanced the side of the Cruise AV, wobbled, and fell over. At the time of the collision, the Cruise AV was traveling with the flow of traffic at 12mph, while the motorcycle was traveling at approximately 17mph. The motorcyclist got up and walked his vehicle to the side of the road, where the parties exchanged information. 911 was called pursuant to Cruise policy. The motorcyclist reported shoulder pain and was taken to receive medical care, and a police report was taken. ","12, 13",37.773973,-122.430825,016300,3003,3,,,,,,,0,
Waymo LLC,12/11/17,11:36 AM,2012,Lexus,RX450h,Rengstorff Ave and El Camino Real,Mountain View,Santa Clara,94040,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Intersection,Vehicle 2,0,None,"A Google Lexus autonomous vehicle (""Google AV"") traveling southwest in autonomous mode on Rengstorff Ave. in !\!fountain View was
involved in an accident. As the Googl.e AV made a left tum onto El Camino Real from the outside left turn lane, another vehicle in the
inside left tum lane also turning left onto El Camino Real crossed into the outside left tum lane and collided with the driver's side of the
Google A V. The Google A V t;st driver immediately disengaged the autonomous technology, took manual control of the vehicle and
brought it to a stop at the side of El Camino Real. The Google AV sustained damage to its driver-side doors. The other vehicle sustained
damage to i t~ front bumper. The Google AV was traveling approximately 20 mph and the other vehicle was traveling approximately 15
mph at the time of the collision. There were no injuries reported at the scene by either party.","2, 3, 4, 5",37.395829,-122.10188,509403,3002,3,,,,,,,0,
Cruise,1/2/18,9:27 PM,2017,Chevrolet,Bolt,Valencia St. & 16th St,San Francisco,San Francisco,94103,Moving,None,1,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Vehicle/Pedestrian,Pedestrain ,Intersection,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was involved in a collision while making a right hand turn from northbound Valencia Street onto 16th Street The Cruise AV was stopped at a green light in between crosswalks of Valencia Street and 16th Street, waiting for pedestrians to cross over 16th Street. A different pedestrian from the southwest corner of Valencia and 16th ran across Valencia Street, against the ""do not walk"" symbol, shouting, and struck the left side of the Cruise AV's rear bumper and hatch with his entire body. There were no injuries but the Cruise AV sustained some damage to its right rear light. The police were not called. 11","6, 7",37.764917,-122.421886,020201,2000,2,,,,,,,0,
Cruise,1/8/18,11:12 AM,2017,Chevrolet,Bolt,Kansas St & Mariposa St,San Francisco,San Francisco,94107,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Pedestrain ,Intersection,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was involved in a collision while traveling northbound on
Kansas Street just past the intersection with Mariposa Street. The Cruise AV was driving in its lane when a cargo truck tried to overtake it
on the left side. As it passed the Cruise AV, the truck clipped the Cruise A V's left front articulating radar. There were no injuries. The
parties exchanged information. The police were called but declined to respond citing the lack of any reported injuries. ","1, 18",37.763445,-122.403412,022704,1008,1,,,,,,,0,
Zoox,1/18/18,9:43 AM,2016,Toyota,Highlander,Pacific Ave. and Sansome St.,San Francisco,San Francisco,94111,Stopped in Traffic,Moving,2,Unknown,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,,,37.797654,-122.400863,061101,2000,2,,,,,,,0,
Cruise,1/28/18,10:55 PM,2017,Chevrolet,Bolt,Duboce Ave & Mission St,San Francisco,San Francisco,94103,Stopped in Traffic,Stopped in Traffic,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Straight Road,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was stopped behind a taxi on Duboce Avenue just past Guerrero. The driver of the taxi exited his vehicle, approached the Cruise AV, and slapped the front passenger window, causing a scratch. There were no injuries and police were not called.",14,37.770111,-122.420008,020101,1005,1,,,,,,,0,
Drive.ai,1/29/18,12:00 PM,2016,Nissan,NV200 Taxi,E Reed St. and S 2nd St.,San Jose,Santa Clara,95113,Moving,None,1,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other*,Mid-Sized Car,Intersection,Vehicle 1,0,None,"A Drive.ai test vehicle was being manually driven ( conventional mode) for data collection in downtown San Jose at around 3:30pm on Monday 1/29. The vehicle was traveling southwest on Reed St. near 2nd St at the time of the incident. The right lane was blocked off by some construction equipment. Due to driver error, the front right section of the NV200 impacted a stationary piece of construction equipment at 17 mph. The front right corner of the test vehicle sustained damage; the piece of construction equipment was not damaged. There were no injuries as a result of the incident. ","1, 18",37.327591,-121.882747,501602,1003,1,,,,,,,0,
Cruise,2/16/18,8:45 AM,2017,Chevrolet,Bolt,14th St between Guerrero and Valencia St,San Francisco,San Francisco,94103,Moving,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Cruise autonomous vehicle (""CrUise AV""), operating in conventional mode, was moving slowly in traffic eastbound on 14th Street just
past Guerrero Street when a vehicle merged in front of the Cruise AV and in doing so made contact with Cruise A V's front left sensor. The
plastic casing of the sensor was damaged. The other vehicle did not stop. The driver of the Cruise AV called the police to report the event,
but the police were not dispatched. ","1, 18",37.768139,-122.422199,020202,2000,2,,,,,,,0,
Cruise,2/20/18,4:58 PM,2017,Chevrolet,Bolt,North Point St &The Embarcadero,San Francisco,San Francisco,94133,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Intersection,Vehicle 2,0,None,"A Cruise autonomous vehicle ( ""Cruise AV""), operating in autonomous mode, was completing a left turn from North Point Street onto The Embarcadero. A vehicle behind the Cruise AV also turning left onto The Embarcadero tried to pass the Cruise AV on the left, and while passing turned back into the Cruise AV's lane too tightly and clipped the Cruise AV's front left sensor. damaging the sensor and the other vehicle's front right passenger door, There were no injuries and po1ice were not called. ",1,37.806507,-122.412768,010101,1016,1,37.3,781,280,78,307,20,96,88790
Cruise,3/14/18,3:12 PM,2017,Chevrolet,Bolt,McAllister Street & Polk Street,San Francisco,San Francisco,94102,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Cruise autonomous vehicle. (""Cruise AV""), was involved in a collision while operating in autonomous mode, traveling westbound on McAllister Street at the intersection of Polk Street. Another attempted er vehicle to pass the Cruise AV on the right but crossed. intoits lane, scraping the Cruise A V's right sensor. There were no injuries and police were not called.",9,37.780259,-122.418599,012405,3007,3,,,,,,,0,
